Date,Open,High,Low,Close,Adj Close,Volume
2020-07-20,98.000000,99.900002,96.300003,96.750000,91.560181,11345715
2020-07-21,97.599998,100.800003,96.599998,99.250000,93.926094,14173024
2020-07-22,99.900002,99.949997,96.500000,97.900002,92.648506,8900231
2020-07-23,98.000000,103.500000,97.550003,102.500000,97.001755,21328257
2020-07-24,102.949997,104.650002,101.199997,102.150002,96.670532,22751977
2020-07-27,102.750000,102.750000,98.250000,99.400002,94.068047,11651988
2020-07-28,97.199997,99.199997,95.349998,96.550003,91.370918,21582715
2020-07-29,96.550003,100.199997,96.500000,97.300003,92.080688,17411338
2020-07-30,97.800003,98.349998,94.949997,95.650002,90.519196,12238718
2020-07-31,95.800003,96.750000,93.750000,95.849998,90.708458,14677625
2020-08-03,96.000000,99.199997,95.050003,96.800003,91.607513,10379833
2020-08-04,97.949997,101.000000,96.900002,100.400002,95.014412,17276038
2020-08-05,100.949997,102.250000,98.849998,100.400002,95.014412,11389713
2020-08-06,100.400002,101.349998,98.599998,99.050003,93.736832,6667436
2020-08-07,99.300003,100.750000,98.349998,99.199997,93.878769,7770524
2020-08-10,105.449997,113.900002,104.400002,108.300003,102.490646,65820109
2020-08-11,109.400002,110.349998,105.250000,105.849998,100.172058,21436022
2020-08-12,105.949997,111.199997,105.349998,110.650002,104.714577,28913577
2020-08-13,111.000000,115.400002,109.650002,114.449997,108.310730,29955939
2020-08-14,115.000000,118.449997,109.550003,113.150002,107.080467,34260310
2020-08-17,114.900002,114.949997,109.900002,110.800003,104.856529,15243576
2020-08-18,111.000000,113.199997,109.699997,111.699997,105.708252,14945692
2020-08-19,112.650002,115.099998,111.800003,112.300003,106.276062,16700352
2020-08-20,111.000000,113.000000,109.650002,111.900002,105.897522,11334756
2020-08-21,112.500000,113.500000,110.800003,112.099998,106.086784,9850427
2020-08-24,111.000000,115.000000,110.599998,114.599998,108.452690,17887643
2020-08-25,115.150002,115.949997,111.300003,112.400002,106.370712,14662242
2020-08-26,112.599998,113.199997,110.599998,111.800003,105.802895,12182068
2020-08-27,111.849998,112.650002,109.800003,110.300003,104.383347,9139368
2020-08-28,113.949997,114.750000,110.800003,112.050003,106.039482,16202083
2020-08-31,112.500000,113.099998,105.000000,106.099998,100.408638,14243527
2020-09-01,107.000000,108.699997,104.400002,107.949997,102.159401,11429025
2020-09-02,107.949997,109.699997,106.250000,109.000000,103.153084,5797529
2020-09-03,109.500000,110.349998,107.800003,108.449997,102.632584,8885623
2020-09-04,105.500000,108.500000,105.349998,106.400002,100.692551,9984965
2020-09-07,106.900002,108.150002,104.699997,105.599998,99.935463,6385918
2020-09-08,106.099998,106.599998,101.599998,102.650002,97.143715,10100252
2020-09-09,101.300003,103.449997,99.699997,101.050003,95.629539,11521889
2020-09-10,101.650002,102.699997,99.000000,101.599998,96.150032,7902714
2020-09-11,102.000000,102.750000,101.300003,102.250000,96.765167,4696272
2020-09-14,106.000000,109.650002,104.400002,107.050003,101.307686,17850509
2020-09-15,106.050003,107.000000,103.949997,104.800003,100.492622,8980519
2020-09-16,105.000000,105.500000,102.300003,103.449997,99.198105,4878565
2020-09-17,102.500000,104.900002,102.400002,103.550003,99.294006,7240435
2020-09-18,104.000000,104.599998,102.199997,103.900002,99.629608,9328206
2020-09-21,103.699997,103.800003,95.099998,96.300003,92.341980,13609234
2020-09-22,96.349998,96.599998,91.000000,92.199997,88.410484,16187100
2020-09-23,93.050003,95.500000,92.349998,93.849998,89.992668,16249601
2020-09-24,92.199997,92.949997,89.650002,90.449997,86.732422,10280623
2020-09-25,91.900002,94.400002,91.349998,93.300003,89.465286,6477016
2020-09-28,94.000000,98.300003,93.849998,97.449997,93.444702,7289771
2020-09-29,98.699997,99.300003,94.800003,96.000000,92.054314,9112254
2020-09-30,96.000000,96.449997,93.900002,95.750000,91.814583,4729804
2020-10-01,96.250000,97.599998,95.000000,96.099998,92.150192,4212607
2020-10-05,96.400002,96.699997,94.599998,96.199997,92.246078,3928225
